Movie_ID,Year,Name,Genre
1,1894,Carmencita,"Documentary, Short"
2,1892,Le clown et ses chiens,"Animation, Short"
3,1892,Poor Pierrot,"Animation, Comedy, Short, Romance"
4,1892,Un bon bock,"Animation, Short"
5,1893,Blacksmith Scene,"Short, Comedy"
6,1894,Chinese Opium Den,Short
7,1894,Corbett and Courtney Before the Kinetograph,"Short, Sport"
8,1894,Edison Kinetoscopic Record of a Sneeze,"Documentary, Short"
9,1894,Miss Jerry,Romance
10,1895,Leaving the Factory,"Documentary, Short"
11,1895,Akrobatisches Potpourri,"Documentary, Short"
12,1896,The Arrival of a Train,"Documentary, Short"
13,1895,The Photographical Congress Arrives in Lyon,"Documentary, Short"
14,1895,The Waterer Watered,"Short, Comedy"
15,1894,Autour d'une cabine,"Animation, Short"
16,1895,Boat Leaving the Port,"Documentary, Short"
17,1895,Italienischer Bauerntanz,"Documentary, Short"
18,1895,Das boxende Känguruh,Short
19,1898,The Clown Barber,"Short, Comedy"
20,1895,The Derby 1895,"Documentary, Short, Sport"
21,1895,The Photographical Congress Arrives in Lyon,"Documentary, Short"
22,1895,Blacksmith Scene,"Documentary, Short"
23,1895,The Sea,"Documentary, Short"
24,1895,Opening of the Kiel Canal,"Short, News"
25,1896,The Oxford and Cambridge University Boat Race,"Short, News, Sport"
26,1896,The Messers. Lumière at Cards,"Documentary, Short"
27,1895,Cordeliers' Square in Lyon,"Documentary, Short"
28,1895,Fishing for Goldfish,"Documentary, Short"
29,1895,Baby's Meal,"Documentary, Short"
30,1895,Rough Sea at Dover,"Documentary, Short"
31,1895,Jumping the Blanket,"Documentary, Short"
32,1895,Die Serpentintänzerin,Short
33,1895,Horse Trick Riders,"Documentary, Short, Comedy"
34,1896,Arrivée d'un train gare de Vincennes,"Documentary, Short"
35,1896,Watering the Flowers,"Short, Comedy"
36,1896,Awakening of Rip,"Drama, Short"
37,1896,Sea Bathing,Short
38,1898,The Ball Game,"Documentary, Short, Sport"
39,1896,Barnet Horse Fair,Short
40,1896,Barque sortant du port de Trouville,"Documentary, Short"
41,1897,Snowball Fight,"Documentary, Short, Comedy"
42,1896,Bateau-mouche sur la Seine,"Documentary, Short"
43,1896,Batteuse à vapeur,"Documentary, Short"
44,1896,Le bivouac,Short
45,1896,Les blanchisseuses,Short
46,1896,Bois de Boulogne,"Documentary, Short"
47,1896,Boulevard des Italiens,"Documentary, Short"
48,1896,The Boxing Kangaroo,Short
49,1896,"Boxing Match; or, Glove Contest","Short, Sport"
50,1896,Bébé et fillettes,"Documentary, Short"
51,1896,The Bohemian Encampment,"Documentary, Short"
52,1896,Ruraux au galop,"Documentary, Short"
53,1897,A Chegada do Comboio Inaugural à Estação Central do Porto,"Documentary, Short"
54,1896,A Merry-Go-Round,Short
55,1896,Le chiffonnier,Short
56,1896,Uma Corrida de Touros no Campo Pequeno,Short
57,1896,The Czar and His Cortege Going to Versailles,"Documentary, Short"
58,1896,The Czar's Cortege in the Bois de Boulogne,"Documentary, Short"
59,1896,Coronation of a Village Maiden,Short
60,1896,Dancing Darkies,"Documentary, Short"
61,1896,Dancing Girls,Short
62,1896,Danse serpentine,Short
63,1896,Dessinateur express,Short
64,1896,Dessinateur: Chamberlain,Short
65,1896,Dessinateur: Reine Victoria,Short
66,1896,Dessinateur: Von Bismark,Short
67,1896,Conjurer Making Ten Hats in Sixty Seconds,"Short, Fantasy"
68,1896,Unloading the Boat,"Documentary, Short"
69,1896,Post No Bills,"Short, Comedy"
70,1896,Demolition of a Wall,"Documentary, Short"
71,1896,Automobiles Starting a Race,"Short, Sport"
72,1896,Officers of French Army Leaving Service,Short
73,1896,Sea Breaking on the Rocks,"Documentary, Short"
74,1896,Children Playing on the Beach,"Documentary, Short"
75,1896,The Conjuring of a Woman at the House of Robert Houdin,"Short, Horror"
76,1896,Exit of Rip and the Dwarf,"Drama, Short"
77,1896,"Le fakir, mystère indien",Short
78,1896,Feira de Gado na Corujeira,"Documentary, Short"
79,1896,La gare Saint-Lazare,"Documentary, Short"
80,1896,Manoeuvres of the French Army,"Documentary, Short"
81,1896,Towing a Boat on the River,"Documentary, Short"
82,1896,A Hard Wash,"Comedy, Short"
83,1896,The Peeping Toms,Short
84,1896,The Drunkards,Short
85,1896,Gardener Burning Weeds,Short
86,1896,"Beach and Pier at Trouville, 1st part","Documentary, Short"
87,1896,"Beach and Pier at Trouville, 2nd part","Documentary, Short"
88,1896,Market Day,"Documentary, Short"
89,1897,Leaving Jerusalem by Railway,"Documentary, Short"
90,1896,Breaking Up of the Territorial Army,"Documentary, Short"
91,1896,The House of the Devil,"Short, Horror"
92,1896,Tide Rising Over the Breakwater,"Documentary, Short"
93,1896,Melbourne,"Documentary, Short"
94,1896,Miss de Vere,Short
95,1896,The Mysterious Paper,Short
96,1896,Place Saint-Augustin,"Documentary, Short"
97,1896,"Place de l'Opéra, First View","Documentary, Short"
98,1896,"Place de l'Opéra, Second View","Documentary, Short"
99,1896,Place de la Bastille,"Documentary, Short"
100,1896,Place de la Concorde,"Documentary, Short"
101,1896,Place du théâtre français,"Documentary, Short"
102,1896,The Beach at Villiers in a Gale,Short
103,1896,Smarter than the Teacher,Short
104,1896,Pompiers à Lyon,"Documentary, Short"
105,1896,The Docks at Marseilles,"Documentary, Short"
106,1896,Retour au cantonnement,Short
107,1896,Naval Review at Cherburg,"Documentary, Short"
108,1896,Rip Leaving Sleepy Hollow,"Drama, Short"
109,1896,Rip Meeting the Dwarf,"Short, Fantasy"
110,1896,Rip Passing Over the Mountain,"Short, Fantasy"
111,1896,Rip's Toast,"Drama, Short"
112,1896,Rip's Toast to Hudson,"Short, Fantasy"
113,1896,Rip's Twenty Years' Sleep,"Drama, Short"
114,1896,French Regiment Going to the Parade,"Documentary, Short"
115,1896,French Officers' Meeting,"Documentary, Short"
116,1896,Sac au dos,Short
117,1896,Saída do Pessoal Operário da Fábrica Confiança,"Documentary, Short"
118,1896,Salut malencontreux d'un déserteur,Short
119,1896,"Rescue on the River, Pt. 2","Documentary, Short"
120,1896,"Rescue on the River, Pt. 1","Documentary, Short"
121,1896,The Soldier's Courtship,"Short, Comedy"
122,1896,Closing Hours at Vibert's Perfume Factory,"Documentary, Short"
123,1896,Conjuring,Short
124,1896,The Pier at Treport During a Storm,"Documentary, Short"
125,1896,The Terrible Railway Accident,Short
126,1896,Tom Old Boot,Short
